GRMZM2G151015	GRMZM2G575566	GRMZM2G055209	GRMZM2G101707	GRMZM2G159744	GRMZM2G449817	GRMZM2G109009	GRMZM2G103526	GRMZM2G169114	GRMZM2G169089	GRMZM2G331283	GRMZM2G029685	GRMZM2G029506	GRMZM2G093391	GRMZM2G179638	GRMZM2G050875	GRMZM2G050917	GRMZM5G836341	GRMZM2G404453	GRMZM2G384897	GRMZM2G141325	GRMZM2G701044	gamma	alpha	total	ratio
-0.230202032	-2.645701413	-2.345104662	-2.998020796	-2.998020796	1.726602201	-2.998020796	1.441453795	-2.998020796	-2.468001988	0.563095926	1.591873889	-1.726602201	-0.636490883	-2.104600628	0.394875486	0.417065588	-0.160759774	1.422465003	0.508057465	2.998020796	0.555132042	0.595081376	0.894605302	0.826248925	0.43850955
0.315058297	0.500322766	-0.237202109	-1.117953259	0.882109877	0.105775004	1.460977052	1.545263217	0.030656506	0.976525035	-0.417065588	1.021399468	0.587206217	0.653262666	0.286550499	2.045954276	-2.468001988	1.825439172	0.661717677	0.813797671	1.946202375	1.460977052	0.974986705	1.277270991	1.277270991	0.402410019
1.591873889	-0.987557182	-0.731172307	-1.068431117	-0.713488578	-0.439462999	-0.872103029	1.184000049	-1.642224543	-0.044289159	-0.872103029	0.424507616	-1.226239142	-0.112627241	-0.244213829	0.74010031	0.010217413	0.146974467	1.156974916	0.188425032	1.351202935	1.021399468	1.392266183	0.699895661	1.499631123	-0.292054674
0.35105981	0.6448541	0.687372812	1.790524917	0.776421761	0.484942137	0.343824517	0.160759774	0.181496015	1.422465003	-0.35105981	0.477294855	0.09208509	1.669043821	0.794970891	-0.492617885	1.591873889	-2.998020796	1.697120332	-2.249880663	-0.595318735	-0.424507616	-1.062220505	0.664154647	-0.799968905	1.205858798
-0.174575701	-0.555132042	-0.085246759	-0.74010031	-0.555132042	1.368372038	0.523619123	1.240815502	1.697120332	0.030656506	-0.085246759	-0.51582268	2.998020796	-1.240815502	-0.731172307	-0.6448541	1.226239142	1.255660378	0.387522319	-2.171527717	-0.83291742	0.085246759	-0.880606067	1.167675078	-0.341695528	1.392266183
-0.902393588	0.003405752	-0.661717677	-0.923055543	0.051108415	0.365586148	-1.056453949	-1.460977052	-1.757666049	-0.6448541	-2.645701413	-0.944119285	-0.965610478	-0.030656506	-0.085246759	-0.767246816	-2.345104662	-2.645701413	0.064754379	1.080563549	0.071581727	0.023842473	1.205858798	0.459394307	1.256210811	-0.306865978
0.394875486	-0.017029548	-0.6448541	0.933535639	-0.83291742	-1.726602201	-1.197842699	-1.441453795	-2.104600628	-1.080563549	-0.944119285	-2.998020796	-0.044289159	0.223213218	-0.286550499	-0.35105981	0.446977502	-2.468001988	-2.171527717	0.265322712	0.09208509	-2.468001988	0.301921554	0.572689437	-0.132563492	0.371881382
0.343824517	-0.611662814	-0.343824517	0.571095686	-0.704730028	0.45451733	-0.713488578	0.531447525	-1.080563549	0.696025208	0.687372812	-0.500322766	-0.477294855	-1.068431117	0.037471962	0.508057465	0.862182757	-0.409646587	0.731172307	-2.104600628	-0.153863466	-0.731172307	-0.346704194	0.545096162	-0.142094136	0.65242926
-1.044626445	-0.064754379	-0.563095926	-2.345104662	-1.009990169	-0.7490877	-0.678771572	1.009990169	-0.965610478	-0.085246759	0.713488578	0.579132162	0.105775004	-0.387522319	-0.484942137	0.776421761	-2.249880663	-0.133217035	1.523165155	0.244213829	1.092857156	1.902810954	1.457387607	1.367799754	1.529352729	-0.047223351
0.003405752	0.209267873	-0.387522319	-1.226239142	-0.492617885	-0.794970891	-0.279460686	1.642224543	-0.279460686	-1.021399468	-2.468001988	0.251237576	-0.293654744	0.547203211	-0.45451733	0.7490877	-2.171527717	-0.293654744	0.531447525	-2.045954276	0.500322766	0.628171949	-0.137327255	0.718104214	0.118289797	0.583848813
