AC233960.1_FG002	AC233960.1_FG003	GRMZM2G021270	GRMZM2G034876	GRMZM2G035213	GRMZM2G046909	GRMZM2G092749	GRMZM2G092959	GRMZM2G108087	GRMZM2G108829	GRMZM2G108996	GRMZM2G150363	GRMZM2G150374	GRMZM2G167431	GRMZM2G179147	GRMZM2G181637	GRMZM2G317738	GRMZM2G325001	GRMZM2G325019	GRMZM2G325038	GRMZM2G339499	GRMZM2G347836	GRMZM5G861093
-0.237202109	-0.010217413	0.823319923	-0.484942137	0.09208509	-0.380190046	-1.368372038	-1.403975696	-0.713488578	-0.469675385	0.882109877	1.226239142	-1.726602201	0.230202032	0.372878156	0.547203211	-0.09208509	-0.394875486	-0.402250065	0.587206217	1.301946185	-0.804348643	1.211918765
0.105775004	1.523165155	0.722302208	0.579132162	2.171527717	-0.167663737	0.7490877	0.804348643	0.998710851	0.872103029	-0.365586148	0.358313528	0.258273739	2.468001988	-0.696025208	-0.571095686	1.825439172	-0.202310601	0.508057465	0.160759774	-2.045954276	0.91267586	0.998710851
0.670220259	2.171527717	0.872103029	0.037471962	0.767246816	-1.523165155	0.696025208	0.484942137	-0.030656506	1.790524917	-0.678771572	1.021399468	0.286550499	-0.531447525	1.021399468	0.181496015	0.794970891	-0.477294855	0.286550499	-0.51582268	-1.993601218	-0.258273739	0.078412413
-0.105775004	-0.394875486	-1.642224543	-1.33442315	1.143773961	-0.813797671	1.080563549	0.315058297	-0.563095926	-1.523165155	1.523165155	0.279460686	0.119484771	1.757666049	-0.251237576	-0.563095926	-0.661717677	1.056453949	0.579132162	-1.422465003	0.696025208	0.064754379	-2.345104662
-0.439462999	0.636490883	-0.051108415	0.813797671	-1.726602201	0.126347925	-0.195363108	0.365586148	0.823319923	1.545263217	-0.531447525	-2.249880663	-0.563095926	0.508057465	1.009990169	-0.119484771	-0.636490883	2.468001988	-1.790524917	0.43197323	0.153863466	-0.105775004	0.882109877
-0.230202032	-1.270787244	-0.286550499	0.944119285	0.402250065	0.794970891	-0.307908216	0.133217035	-0.83291742	-0.230202032	-0.687372812	0.661717677	0.74010031	0.181496015	0.300773842	-0.160759774	1.156974916	1.757666049	0.064754379	-0.372878156	-1.946202375	-0.044289159	-0.030656506
-0.064754379	-0.45451733	0.91267586	-0.965610478	0.722302208	0.336607179	0.010217413	1.130769373	-0.051108415	0.300773842	-0.265322712	-2.171527717	-0.372878156	-0.636490883	0.195363108	0.74010031	0.244213829	-2.249880663	1.642224543	-0.687372812	-0.051108415	-0.402250065	-2.249880663
-0.687372812	-0.842592259	-0.329407333	0.595318735	-0.872103029	-1.068431117	-1.993601218	0.43197323	0.380190046	0.160759774	0.293654744	-2.104600628	-0.424507616	-2.998020796	-1.170380633	-0.6448541	-0.409646587	-2.171527717	0.133217035	-2.468001988	0.882109877	-2.045954276	-2.171527717
-0.402250065	0.902393588	1.130769373	-0.057930049	0.181496015	0.462083086	0.023842473	1.591873889	0.523619123	0.09208509	-1.403975696	0.195363108	0.057930049	0.003405752	-0.944119285	-0.902393588	-0.023842473	0.387522319	-0.064754379	-0.944119285	0.477294855	-0.43197323	-0.531447525
-1.105318189	-0.661717677	-0.315058297	0.571095686	-0.188425032	-0.678771572	-0.35105981	-2.104600628	-1.270787244	-1.902810954	-0.539308633	1.240815502	-0.037471962	0.133217035	0.387522319	0.611662814	-1.697120332	-2.104600628	-1.33442315	0.140092436	-1.902810954	-0.09208509	0.539308633
