GRMZM2G132577	GRMZM2G700683	GRMZM2G106479	GRMZM2G136765	GRMZM2G409343	GRMZM5G852338	GRMZM2G170628	GRMZM2G170632	GRMZM2G116083	GRMZM2G013448	GRMZM5G851965	GRMZM2G012966	GRMZM2G165428	AC196426.3_FG007	GRMZM2G096655	GRMZM2G395771	GRMZM2G096764	GRMZM2G050553	GRMZM2G027333
-0.462083086	1.568142731	0.954809756	-0.696025208	-0.010217413	0.500322766	0.105775004	1.197842699	-0.230202032	-0.804348643	-0.051108415	-0.010217413	0.322224522	0.484942137	-0.307908216	1.422465003	0.767246816	-0.571095686	-0.315058297
1.33442315	0.265322712	-0.098927729	0.628171949	-1.568142731	-0.6448541	0.687372812	1.170380633	0.279460686	1.143773961	-0.209267873	0.216235289	-0.119484771	-0.804348643	0.547203211	-0.45451733	1.184000049	-0.237202109	0.030656506
-0.842592259	-1.211918765	1.545263217	0.469675385	-1.825439172	-1.902810954	-2.468001988	0.523619123	1.422465003	-1.403975696	-0.140092436	-1.726602201	-0.484942137	-0.976525035	-0.051108415	1.211918765	1.757666049	-0.057930049	-2.104600628
0.409646587	-0.661717677	-0.071581727	-0.365586148	1.368372038	1.825439172	0.057930049	-0.862182757	0.902393588	0.037471962	-2.171527717	0.823319923	0.619896262	0.402250065	-0.023842473	-0.237202109	0.387522319	-0.539308633	-0.017029548
-0.603470624	1.021399468	0.057930049	0.181496015	0.872103029	1.105318189	-2.345104662	1.726602201	0.469675385	-0.017029548	2.104600628	0.587206217	0.794970891	1.270787244	-1.368372038	0.785662535	0.571095686	-0.051108415	2.171527717
-2.998020796	0.500322766	0.804348643	-1.270787244	0.358313528	0.785662535	-0.722302208	2.171527717	0.402250065	0.223213218	0.251237576	-1.170380633	-0.365586148	0.380190046	-0.842592259	-0.74010031	-1.240815502	-0.704730028	-1.056453949
-0.112627241	-0.998710851	1.301946185	0.758136008	-0.446977502	0.998710851	1.460977052	-0.409646587	0.372878156	2.249880663	1.021399468	1.117953259	-0.394875486	-0.417065588	0.167663737	0.500322766	-0.477294855	-0.492617885	-0.731172307
-0.343824517	-1.523165155	-0.037471962	0.237202109	0.329407333	0.933535639	-0.010217413	-1.403975696	-0.394875486	0.387522319	-2.104600628	-0.037471962	-1.501786817	0.279460686	-1.156974916	-0.160759774	0.112627241	-0.469675385	0.43197323
0.954809756	1.255660378	-0.785662535	-0.195363108	-0.078412413	0.51582268	-1.021399468	0.539308633	0.315058297	0.258273739	-0.258273739	-0.933535639	0.329407333	-0.112627241	0.35105981	1.642224543	1.068431117	0.998710851	-0.064754379
-0.636490883	0.051108415	-0.057930049	-0.272384894	-0.661717677	-0.439462999	-2.249880663	-0.251237576	0.892205847	-1.286210621	0.51582268	-0.776421761	-0.424507616	0.722302208	-1.143773961	-1.726602201	0.469675385	-1.591873889	-2.171527717
0.078412413	-0.09208509	0.119484771	-0.078412413	0.628171949	0.188425032	0.153863466	-1.032943298	-0.387522319	-0.563095926	-0.380190046	-1.902810954	-1.790524917	-0.146974467	-0.954809756	1.862731867	-1.902810954	0.017029548	0.555132042
1.790524917	-1.301946185	-1.226239142	-2.345104662	-1.143773961	-0.343824517	2.249880663	1.226239142	1.591873889	0.722302208	-2.045954276	-0.237202109	-2.468001988	-1.032943298	0.43197323	0.279460686	0.057930049	-0.085246759	-1.757666049
1.422465003	-1.143773961	0.209267873	-1.946202375	-2.104600628	-1.351202935	-0.776421761	-0.098927729	0.265322712	0.195363108	-0.336607179	-1.825439172	-0.531447525	-1.318010897	1.021399468	-0.037471962	0.555132042	0.030656506	-1.825439172
0.286550499	0.085246759	-0.051108415	-0.174575701	-0.230202032	0.078412413	0.051108415	0.696025208	0.251237576	0.336607179	-0.017029548	1.318010897	0.265322712	0.372878156	1.993601218	-0.279460686	0.758136008	0.804348643	1.270787244
